Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10737,Game_10737,XOne,2015,Platform,Nintendo,0.51,0.28,0.26,0.07,1.12
10738,Game_10738,GBA,2012,Adventure,Capcom,0.88,0.38,0.47,0.79,2.52
10739,Game_10739,Wii,2004,Platform,Nintendo,0.98,0.4,0.27,0.63,2.28
10740,Game_10740,3DS,1990,Racing,Konami Digital Entertainment,0.09,0.13,0.03,0.13,0.37
10741,Game_10741,PS3,2000,Simulation,Capcom,1.93,0.81,1.01,0.97,4.72
10742,Game_10742,3DS,2010,Role-Playing,Nintendo,4.76,3.21,2.08,0.18,9.21
10743,Game_10743,Wii,1999,Racing,Nintendo,3.52,1.34,1.68,0.74,7.28
10744,Game_10744,PSP,1992,Misc,Nintendo,6.61,3.14,0.42,3.87,14.04
10745,Game_10745,PS2,1992,Sports,Ubisoft,5.67,1.16,1.83,2.23,10.88
10746,Game_10746,Wii,1998,Sports,Capcom,4.58,1.61,0.95,2.24,9.38
10747,Game_10747,PSP,2015,Racing,Sony Computer Entertainment,1.16,0.43,0.3,0.7,2.59
10748,Game_10748,XOne,2012,Shooter,Ubisoft,0.15,0.09,0.06,0.22,0.52
10749,Game_10749,Wii,1986,Platform,Nintendo,0.22,0.17,0.05,0.25,0.69
10750,Game_10750,Wii,1988,Simulation,Capcom,1.66,0.49,0.08,1.3,3.53
10751,Game_10751,X360,2007,Simulation,Ubisoft,2.99,1.0,1.04,3.17,8.2
10752,Game_10752,Wii,1991,Fighting,Activision,7.64,1.98,2.13,1.17,12.92
10753,Game_10753,GBA,2016,Fighting,Electronic Arts,1.76,1.12,0.8,0.53,4.22
10754,Game_10754,X360,2006,Adventure,Konami Digital Entertainment,0.83,0.19,0.44,0.39,1.85
10755,Game_10755,GBA,2013,Sports,Activision,0.33,0.22,0.1,0.03,0.68
10756,Game_10756,PSP,2011,Action,Sony Computer Entertainment,0.19,0.1,0.03,0.02,0.34
10757,Game_10757,GBA,2002,Racing,Capcom,2.16,1.75,0.14,1.12,5.17
10758,Game_10758,PS3,2002,Platform,Konami Digital Entertainment,0.15,0.08,0.09,0.07,0.39
10759,Game_10759,X360,2006,Role-Playing,THQ,0.18,0.1,0.09,0.22,0.59
10760,Game_10760,PS2,2011,Misc,Ubisoft,0.19,0.23,0.06,0.19,0.68
10761,Game_10761,X360,2002,Racing,Activision,1.43,0.36,0.1,1.67,3.55
10762,Game_10762,X360,1993,Fighting,Konami Digital Entertainment,0.96,0.82,0.32,0.37,2.46
10763,Game_10763,PS4,2013,Shooter,Nintendo,0.49,0.25,0.18,0.02,0.89
10764,Game_10764,3DS,2016,Action,Namco Bandai Games,13.09,2.58,0.92,8.61,25.2
10765,Game_10765,DS,2010,Sports,Konami Digital Entertainment,1.95,0.86,0.3,1.02,4.12
10766,Game_10766,PSP,2009,Sports,Sega,0.37,0.11,0.02,0.29,0.79
10767,Game_10767,XOne,2005,Shooter,Electronic Arts,0.74,0.27,0.18,0.07,1.26
10768,Game_10768,DS,2012,Platform,Nintendo,0.45,0.5,0.41,0.63,1.99
10769,Game_10769,X360,2014,Adventure,Activision,0.92,0.44,0.55,0.66,2.57
10770,Game_10770,DS,2016,Role-Playing,Electronic Arts,1.35,0.92,0.38,0.05,2.66
10771,Game_10771,3DS,2011,Fighting,Sony Computer Entertainment,0.49,0.34,0.17,0.02,1.0
10772,Game_10772,GBA,2002,Role-Playing,Sony Computer Entertainment,1.08,0.69,0.29,1.72,3.78
10773,Game_10773,DS,2010,Platform,Ubisoft,0.14,0.06,0.03,0.01,0.23
10774,Game_10774,Wii,2016,Role-Playing,Capcom,0.45,0.12,0.02,0.2,0.79
10775,Game_10775,X360,2016,Platform,Nintendo,5.17,2.8,2.63,5.46,16.07
10776,Game_10776,DS,1987,Role-Playing,Activision,0.12,0.15,0.05,0.26,0.58
10777,Game_10777,GBA,1985,Adventure,Sony Computer Entertainment,1.2,0.56,0.12,0.73,2.6
10778,Game_10778,GBA,2015,Adventure,Electronic Arts,0.05,0.05,0.03,0.1,0.22
10779,Game_10779,X360,2011,Racing,Capcom,1.11,0.63,0.13,0.32,2.19
10780,Game_10780,XOne,2006,Shooter,Activision,4.5,3.3,2.35,6.69,16.84
10781,Game_10781,PS2,2010,Sports,Capcom,0.4,0.13,0.04,0.24,0.81
10782,Game_10782,PS2,2004,Platform,Capcom,12.39,6.41,2.18,1.12,22.11
10783,Game_10783,3DS,2011,Misc,Activision,0.12,0.12,0.05,0.22,0.51
10784,Game_10784,PSP,1994,Sports,Capcom,1.33,1.15,0.72,0.11,3.31
10785,Game_10785,PS4,1993,Platform,Namco Bandai Games,0.1,0.12,0.05,0.12,0.4
10786,Game_10786,PS2,1991,Racing,Electronic Arts,0.16,0.05,0.08,0.05,0.33
10787,Game_10787,PSP,2012,Misc,Activision,0.26,0.21,0.2,0.14,0.82
10788,Game_10788,PS4,2015,Misc,Nintendo,1.23,0.56,0.29,0.27,2.35
10789,Game_10789,X360,1997,Misc,Ubisoft,6.04,2.47,0.32,1.5,10.33
10790,Game_10790,PS4,2005,Adventure,Electronic Arts,0.7,0.17,0.15,0.47,1.49
10791,Game_10791,PSP,2000,Racing,Ubisoft,0.92,0.8,0.3,1.11,3.13
10792,Game_10792,X360,2013,Misc,Sony Computer Entertainment,0.36,0.18,0.1,0.45,1.1
10793,Game_10793,GBA,1996,Sports,Capcom,0.11,0.1,0.11,0.21,0.53
10794,Game_10794,PS3,2001,Racing,Namco Bandai Games,0.53,0.21,0.13,0.02,0.89
10795,Game_10795,PS4,2016,Platform,Sony Computer Entertainment,3.55,1.78,1.49,1.51,8.33
10796,Game_10796,X360,1994,Role-Playing,Nintendo,0.04,0.01,0.02,0.01,0.08
10797,Game_10797,DS,2011,Fighting,THQ,0.09,0.05,0.06,0.12,0.33
10798,Game_10798,PS4,2015,Fighting,Ubisoft,0.15,0.11,0.01,0.19,0.46
10799,Game_10799,PS2,2007,Platform,Konami Digital Entertainment,0.76,0.42,0.18,2.23,3.59
10800,Game_10800,PS4,1987,Misc,Sega,1.37,0.45,0.59,0.05,2.45
10801,Game_10801,PSP,2003,Misc,THQ,0.6,0.25,0.16,0.02,1.02
10802,Game_10802,PS2,2016,Simulation,Konami Digital Entertainment,0.46,0.19,0.33,0.55,1.52
10803,Game_10803,PS4,1997,Platform,Namco Bandai Games,0.27,0.21,0.17,0.28,0.92
10804,Game_10804,DS,2001,Simulation,THQ,1.26,0.57,0.59,0.1,2.51
10805,Game_10805,GBA,2015,Misc,Activision,0.37,0.55,0.28,0.61,1.81
10806,Game_10806,PSP,2009,Misc,Namco Bandai Games,0.16,0.2,0.1,0.25,0.71
10807,Game_10807,DS,1992,Misc,Namco Bandai Games,0.03,0.01,0.01,0.01,0.06
10808,Game_10808,PSP,2016,Shooter,Konami Digital Entertainment,0.46,0.39,0.39,0.85,2.1
10809,Game_10809,XOne,2013,Fighting,Sega,0.29,0.11,0.06,0.26,0.72
10810,Game_10810,PS4,2008,Simulation,Nintendo,0.81,0.68,0.48,1.07,3.03
10811,Game_10811,XOne,2015,Misc,Ubisoft,0.96,0.81,0.63,0.26,2.65
10812,Game_10812,XOne,2006,Role-Playing,THQ,3.06,2.97,3.57,5.14,14.74
10813,Game_10813,PSP,2012,Sports,Capcom,0.4,0.1,0.11,0.14,0.74
10814,Game_10814,PS3,2002,Simulation,Namco Bandai Games,0.31,0.21,0.25,0.35,1.11
10815,Game_10815,Wii,1988,Misc,Namco Bandai Games,0.8,1.18,0.91,1.04,3.93
10816,Game_10816,3DS,1998,Racing,Activision,0.49,0.15,0.13,0.3,1.07
10817,Game_10817,PS3,2001,Simulation,Nintendo,1.44,0.51,0.47,0.66,3.07
10818,Game_10818,X360,2016,Role-Playing,Sega,0.16,0.14,0.08,0.06,0.44
10819,Game_10819,3DS,1993,Fighting,Capcom,0.11,0.04,0.02,0.02,0.19
10820,Game_10820,Wii,1995,Racing,THQ,0.96,0.34,0.21,0.15,1.67
10821,Game_10821,PSP,2007,Platform,Activision,0.33,0.2,0.19,0.17,0.88
10822,Game_10822,Wii,2012,Simulation,Konami Digital Entertainment,1.58,0.62,0.35,0.91,3.46
10823,Game_10823,Wii,1995,Sports,Nintendo,0.07,0.06,0.04,0.03,0.21
10824,Game_10824,GBA,1986,Action,Nintendo,0.38,0.35,0.27,0.1,1.1
10825,Game_10825,PSP,1997,Platform,Sony Computer Entertainment,0.6,0.75,0.09,0.91,2.35
10826,Game_10826,3DS,2015,Adventure,Konami Digital Entertainment,3.32,2.44,1.53,0.8,8.09
10827,Game_10827,DS,2006,Action,Capcom,0.05,0.03,0.01,0.08,0.17
10828,Game_10828,PS2,2015,Shooter,Namco Bandai Games,0.2,0.16,0.12,0.02,0.5
10829,Game_10829,PSP,2013,Racing,Nintendo,0.76,0.54,0.32,1.6,3.22
10830,Game_10830,DS,1983,Fighting,Nintendo,1.03,0.7,0.58,0.51,2.82
10831,Game_10831,XOne,2012,Action,Ubisoft,0.18,0.17,0.15,0.19,0.69
10832,Game_10832,X360,1996,Simulation,Nintendo,1.9,0.65,0.48,1.7,4.73
10833,Game_10833,PS3,2004,Shooter,THQ,0.1,0.04,0.04,0.09,0.27
10834,Game_10834,PS2,1997,Simulation,Nintendo,3.28,1.34,1.52,0.62,6.76
10835,Game_10835,XOne,2000,Shooter,Activision,0.37,0.28,0.13,1.06,1.85
10836,Game_10836,XOne,1998,Simulation,Nintendo,1.63,0.53,0.42,0.21,2.79
10837,Game_10837,DS,1998,Racing,Electronic Arts,0.13,0.1,0.07,0.12,0.42
10838,Game_10838,PS4,2011,Adventure,Sega,0.22,0.08,0.06,0.16,0.52
10839,Game_10839,XOne,1988,Sports,Capcom,0.05,0.01,0.01,0.02,0.09
10840,Game_10840,PSP,1987,Misc,Sega,0.8,0.38,0.51,1.77,3.46
10841,Game_10841,X360,2011,Role-Playing,Namco Bandai Games,0.37,0.2,0.04,0.22,0.82
10842,Game_10842,3DS,1997,Action,Sega,0.04,0.03,0.03,0.01,0.11
10843,Game_10843,DS,1994,Role-Playing,Activision,1.61,1.22,0.35,3.32,6.49
10844,Game_10844,PS2,2016,Misc,Sega,0.19,0.04,0.07,0.11,0.42
10845,Game_10845,DS,2004,Racing,Nintendo,17.1,7.42,2.15,3.08,29.76
10846,Game_10846,X360,2010,Sports,Activision,0.12,0.05,0.05,0.04,0.26
10847,Game_10847,XOne,1999,Simulation,Ubisoft,6.37,2.54,0.98,2.43,12.31
10848,Game_10848,PS4,2012,Role-Playing,Nintendo,1.44,0.59,0.46,0.33,2.82
10849,Game_10849,3DS,2014,Simulation,Sony Computer Entertainment,2.3,1.05,0.49,2.17,6.02
10850,Game_10850,PS4,1995,Sports,Nintendo,1.12,0.36,0.15,0.39,2.03
10851,Game_10851,PS3,2005,Racing,Namco Bandai Games,1.48,0.79,0.95,1.15,4.37
10852,Game_10852,3DS,1999,Action,Ubisoft,0.89,0.51,0.44,0.43,2.27
10853,Game_10853,PS4,2013,Sports,Konami Digital Entertainment,0.81,1.01,0.22,1.94,3.97
10854,Game_10854,XOne,2004,Racing,Nintendo,0.48,0.44,0.23,0.64,1.79
10855,Game_10855,PS3,2003,Sports,Konami Digital Entertainment,1.06,1.34,0.35,1.37,4.12
10856,Game_10856,XOne,2002,Sports,Sony Computer Entertainment,0.14,0.09,0.08,0.07,0.37
10857,Game_10857,X360,2008,Racing,Capcom,0.74,0.34,0.35,0.4,1.82
10858,Game_10858,3DS,2016,Shooter,Konami Digital Entertainment,0.44,0.23,0.46,0.97,2.09
10859,Game_10859,PS2,2008,Misc,Capcom,0.28,0.17,0.06,0.24,0.75
10860,Game_10860,Wii,2006,Role-Playing,Ubisoft,1.86,1.7,1.08,1.54,6.18
10861,Game_10861,XOne,2012,Adventure,Namco Bandai Games,2.59,2.48,0.64,1.97,7.69
10862,Game_10862,XOne,1994,Action,Konami Digital Entertainment,0.6,0.26,0.13,0.26,1.25
10863,Game_10863,PS4,2010,Misc,THQ,0.05,0.03,0.04,0.1,0.22
10864,Game_10864,PSP,2015,Sports,Ubisoft,0.08,0.04,0.02,0.0,0.13
10865,Game_10865,PS4,2001,Fighting,Namco Bandai Games,0.9,0.43,0.66,2.17,4.16
10866,Game_10866,XOne,1992,Role-Playing,Capcom,17.32,19.16,9.97,17.48,63.93
10867,Game_10867,3DS,2004,Platform,Nintendo,1.8,0.49,0.24,1.7,4.23
10868,Game_10868,PS4,2002,Adventure,Sega,5.99,1.48,2.82,4.06,14.35
10869,Game_10869,3DS,2010,Misc,Capcom,0.38,0.18,0.22,0.18,0.95
10870,Game_10870,PS2,1997,Fighting,Ubisoft,0.79,0.49,0.08,0.42,1.78
10871,Game_10871,X360,1994,Simulation,Activision,0.12,0.06,0.01,0.04,0.23
10872,Game_10872,DS,2001,Racing,Konami Digital Entertainment,0.07,0.03,0.02,0.03,0.15
10873,Game_10873,GBA,2015,Racing,Electronic Arts,4.4,2.34,2.17,0.38,9.28
10874,Game_10874,XOne,1992,Misc,Electronic Arts,0.29,0.07,0.02,0.3,0.69
10875,Game_10875,XOne,2009,Shooter,Capcom,0.12,0.04,0.04,0.13,0.33
10876,Game_10876,PS4,2010,Racing,Namco Bandai Games,0.02,0.01,0.01,0.03,0.07
10877,Game_10877,X360,2000,Racing,Electronic Arts,0.01,0.01,0.01,0.0,0.03
10878,Game_10878,3DS,2005,Platform,Nintendo,0.13,0.08,0.01,0.08,0.31
10879,Game_10879,PS3,2008,Adventure,Electronic Arts,1.52,0.49,0.45,1.01,3.47
10880,Game_10880,Wii,2006,Shooter,Activision,0.01,0.01,0.0,0.01,0.04
10881,Game_10881,X360,1988,Adventure,Nintendo,1.0,0.66,0.31,0.06,2.03
10882,Game_10882,DS,2003,Misc,Nintendo,0.28,0.3,0.09,0.41,1.08
10883,Game_10883,XOne,2007,Racing,Konami Digital Entertainment,0.2,0.09,0.08,0.05,0.42
10884,Game_10884,PS4,1988,Sports,Ubisoft,1.0,0.5,0.37,0.14,2.01
10885,Game_10885,PSP,2012,Racing,Sony Computer Entertainment,0.31,0.08,0.02,0.34,0.76
10886,Game_10886,3DS,2014,Action,Ubisoft,3.29,0.87,0.7,0.89,5.75
10887,Game_10887,GBA,2009,Action,Sega,3.02,1.38,0.44,0.23,5.07
10888,Game_10888,3DS,2007,Sports,THQ,1.57,0.66,0.1,0.51,2.84
10889,Game_10889,PSP,2011,Platform,Activision,0.29,0.29,0.28,0.46,1.31
10890,Game_10890,3DS,1983,Platform,Electronic Arts,12.7,8.22,5.93,4.12,30.97
10891,Game_10891,PS3,2000,Fighting,Sony Computer Entertainment,2.76,2.59,2.38,3.98,11.71
10892,Game_10892,GBA,1987,Racing,Activision,0.97,0.59,0.16,0.64,2.36
10893,Game_10893,PSP,2006,Fighting,Konami Digital Entertainment,1.78,0.82,0.43,1.63,4.66
10894,Game_10894,GBA,2016,Fighting,Ubisoft,0.42,0.24,0.14,0.01,0.75
10895,Game_10895,PS4,2002,Platform,THQ,6.99,3.12,0.95,2.75,13.8
10896,Game_10896,X360,2001,Action,Nintendo,3.35,1.42,1.47,3.0,9.24
10897,Game_10897,Wii,2010,Action,THQ,0.14,0.05,0.04,0.03,0.25
10898,Game_10898,GBA,2004,Shooter,Sega,3.53,1.17,0.56,1.25,6.52
10899,Game_10899,3DS,2012,Platform,Sony Computer Entertainment,0.14,0.11,0.08,0.01,0.32
10900,Game_10900,X360,2013,Simulation,Sony Computer Entertainment,0.01,0.01,0.0,0.0,0.02
10901,Game_10901,PSP,1984,Racing,Nintendo,0.51,0.14,0.24,0.17,1.06
10902,Game_10902,XOne,2014,Role-Playing,Capcom,0.38,0.37,0.37,0.58,1.7
10903,Game_10903,PS4,1994,Simulation,Namco Bandai Games,5.0,3.37,1.43,4.49,14.29
10904,Game_10904,PS2,2011,Simulation,Sony Computer Entertainment,0.12,0.1,0.06,0.07,0.35
10905,Game_10905,PS3,2004,Racing,THQ,2.41,1.05,1.48,2.82,7.76
10906,Game_10906,3DS,2005,Action,THQ,0.09,0.04,0.06,0.07,0.26
10907,Game_10907,3DS,1987,Sports,Nintendo,0.51,0.18,0.25,0.79,1.74
10908,Game_10908,XOne,2002,Simulation,Sony Computer Entertainment,0.09,0.08,0.05,0.03,0.24
10909,Game_10909,DS,1982,Racing,THQ,0.28,0.13,0.1,0.01,0.48
10910,Game_10910,GBA,1991,Sports,Konami Digital Entertainment,0.11,0.04,0.03,0.02,0.19
10911,Game_10911,3DS,1994,Fighting,Electronic Arts,1.19,0.43,0.56,0.3,2.49
10912,Game_10912,PS3,1996,Racing,Electronic Arts,0.14,0.13,0.09,0.06,0.42
10913,Game_10913,XOne,2010,Fighting,Activision,1.59,0.93,0.75,1.85,5.13
10914,Game_10914,PS2,1998,Racing,Nintendo,1.48,1.06,0.78,1.11,4.43
10915,Game_10915,PS2,2009,Simulation,Capcom,0.14,0.06,0.01,0.07,0.28
10916,Game_10916,XOne,1983,Role-Playing,Konami Digital Entertainment,0.91,0.2,0.1,0.61,1.83
10917,Game_10917,PS4,2016,Misc,Electronic Arts,0.17,0.24,0.03,0.32,0.76
10918,Game_10918,PSP,2012,Simulation,Activision,0.71,0.44,0.04,0.11,1.31
10919,Game_10919,DS,2016,Simulation,Konami Digital Entertainment,0.69,0.55,0.47,0.63,2.34
10920,Game_10920,DS,1984,Action,THQ,0.89,0.4,0.34,0.55,2.18
10921,Game_10921,Wii,2007,Role-Playing,Nintendo,0.48,0.27,0.2,0.02,0.88
10922,Game_10922,PS3,1989,Sports,Namco Bandai Games,3.25,1.68,2.27,2.69,9.88
10923,Game_10923,DS,2015,Fighting,THQ,0.46,0.23,0.24,0.69,1.63
10924,Game_10924,X360,1993,Fighting,Ubisoft,7.56,6.12,1.76,21.57,37.01
10925,Game_10925,DS,2009,Shooter,Electronic Arts,0.85,0.54,0.11,0.14,1.64
10926,Game_10926,XOne,1997,Adventure,THQ,0.13,0.05,0.03,0.07,0.29
10927,Game_10927,GBA,1986,Role-Playing,Capcom,0.1,0.04,0.07,0.19,0.4
10928,Game_10928,Wii,1998,Adventure,Ubisoft,0.37,0.47,0.1,0.54,1.48
10929,Game_10929,PSP,2016,Misc,Namco Bandai Games,0.14,0.04,0.02,0.11,0.3
10930,Game_10930,PSP,2005,Shooter,Electronic Arts,0.58,0.64,0.2,0.45,1.88
10931,Game_10931,GBA,2007,Platform,Capcom,0.11,0.05,0.08,0.09,0.33
10932,Game_10932,XOne,1988,Misc,Sony Computer Entertainment,3.38,2.06,0.56,2.6,8.6
10933,Game_10933,XOne,2009,Fighting,Sony Computer Entertainment,1.04,0.84,0.35,0.18,2.41
10934,Game_10934,PS4,2001,Fighting,Namco Bandai Games,2.51,1.38,1.01,0.09,4.26
10935,Game_10935,PS3,1980,Platform,Sega,1.39,0.83,0.67,1.12,4.01
10936,Game_10936,GBA,1990,Shooter,Activision,0.32,0.2,0.16,0.01,0.67
10937,Game_10937,PSP,1991,Fighting,Nintendo,2.0,0.54,0.6,1.32,4.46
10938,Game_10938,3DS,2014,Misc,Activision,0.6,0.31,0.41,0.59,1.9
10939,Game_10939,X360,1998,Racing,Capcom,3.17,2.85,1.27,2.51,9.79
10940,Game_10940,GBA,2009,Racing,Ubisoft,0.57,0.41,0.11,0.23,1.32
10941,Game_10941,PSP,2003,Racing,THQ,0.01,0.01,0.0,0.01,0.03
10942,Game_10942,X360,1996,Shooter,Sony Computer Entertainment,0.11,0.09,0.02,0.18,0.39
10943,Game_10943,XOne,1999,Misc,Konami Digital Entertainment,4.01,0.94,0.61,2.6,8.16
10944,Game_10944,PSP,2016,Role-Playing,Electronic Arts,0.51,0.24,0.28,0.18,1.21
10945,Game_10945,XOne,2015,Fighting,Sony Computer Entertainment,4.26,2.08,1.68,1.68,9.7
10946,Game_10946,PSP,2013,Racing,Namco Bandai Games,1.03,0.28,0.27,0.55,2.12
10947,Game_10947,XOne,1998,Racing,Konami Digital Entertainment,0.93,0.59,0.36,1.38,3.26
10948,Game_10948,PSP,2002,Adventure,Sony Computer Entertainment,0.88,0.65,0.35,0.04,1.86
10949,Game_10949,PS2,1998,Fighting,Nintendo,0.16,0.14,0.15,0.18,0.63
10950,Game_10950,X360,1988,Platform,Namco Bandai Games,1.28,0.92,0.45,0.28,2.93
10951,Game_10951,XOne,2003,Racing,THQ,1.2,0.43,0.42,0.07,2.11
10952,Game_10952,XOne,2013,Racing,Nintendo,0.14,0.09,0.09,0.24,0.56
10953,Game_10953,Wii,2013,Fighting,Namco Bandai Games,0.7,0.15,0.26,0.09,1.2
10954,Game_10954,XOne,2000,Misc,THQ,0.18,0.06,0.03,0.27,0.53
10955,Game_10955,PS2,2007,Adventure,Ubisoft,0.56,0.29,0.24,0.02,1.0
10956,Game_10956,PS2,2004,Action,Konami Digital Entertainment,0.82,0.34,0.4,1.79,3.34
10957,Game_10957,PS2,2009,Platform,Sega,0.18,0.18,0.11,0.12,0.59
10958,Game_10958,X360,2016,Misc,Electronic Arts,0.94,0.55,0.54,0.16,2.19
10959,Game_10959,PS3,2004,Racing,Konami Digital Entertainment,0.28,0.12,0.07,0.14,0.62
10960,Game_10960,XOne,2005,Sports,Namco Bandai Games,0.33,0.09,0.04,0.31,0.76
10961,Game_10961,PS2,2011,Role-Playing,THQ,0.56,0.45,0.03,0.35,1.39
10962,Game_10962,PS4,2003,Platform,Namco Bandai Games,0.23,0.16,0.14,0.11,0.65
10963,Game_10963,XOne,1998,Simulation,Konami Digital Entertainment,0.91,0.63,0.74,0.68,2.96
10964,Game_10964,GBA,2006,Adventure,Electronic Arts,0.45,0.3,0.21,0.11,1.06
10965,Game_10965,PS3,1996,Platform,THQ,1.03,0.64,0.57,0.57,2.82
10966,Game_10966,PS2,2001,Shooter,THQ,0.5,0.35,0.3,0.44,1.59
10967,Game_10967,PS3,2014,Racing,THQ,0.05,0.03,0.03,0.01,0.12
10968,Game_10968,DS,1992,Action,Electronic Arts,0.17,0.1,0.05,0.03,0.34
10969,Game_10969,Wii,2007,Platform,Ubisoft,3.71,2.17,0.59,2.66,9.14
10970,Game_10970,GBA,2007,Sports,Activision,3.47,2.62,0.89,0.6,7.59
10971,Game_10971,DS,2005,Action,Activision,0.81,0.18,0.11,0.67,1.77
10972,Game_10972,PSP,1988,Misc,Sony Computer Entertainment,0.22,0.14,0.02,0.16,0.54
10973,Game_10973,DS,2009,Simulation,Activision,2.34,1.02,1.02,0.73,5.11
10974,Game_10974,GBA,1989,Adventure,THQ,0.84,0.28,0.18,0.34,1.64
10975,Game_10975,GBA,1989,Sports,Electronic Arts,1.38,0.45,0.48,0.5,2.81
10976,Game_10976,Wii,2002,Simulation,Nintendo,0.7,0.22,0.21,0.13,1.26
10977,Game_10977,X360,2007,Simulation,Sega,0.35,0.18,0.12,0.02,0.66
10978,Game_10978,DS,2012,Adventure,THQ,0.56,0.33,0.34,0.75,1.97
10979,Game_10979,PS3,1993,Sports,Namco Bandai Games,0.13,0.1,0.05,0.03,0.32
10980,Game_10980,PS4,1993,Simulation,Activision,0.83,0.6,0.57,1.31,3.31
10981,Game_10981,Wii,2002,Adventure,Activision,0.8,1.35,0.76,0.98,3.89
10982,Game_10982,Wii,1998,Platform,Electronic Arts,15.28,8.89,1.98,8.55,34.71
10983,Game_10983,PS2,2002,Misc,Electronic Arts,8.67,3.83,2.8,2.09,17.4
10984,Game_10984,DS,2009,Fighting,Nintendo,2.08,1.5,0.1,1.06,4.75
10985,Game_10985,PSP,1993,Platform,Konami Digital Entertainment,2.49,0.93,0.15,0.75,4.33
10986,Game_10986,PS2,2010,Simulation,Konami Digital Entertainment,1.52,1.12,0.25,0.88,3.77
10987,Game_10987,X360,2015,Fighting,THQ,0.1,0.07,0.04,0.17,0.38
10988,Game_10988,DS,1998,Simulation,Konami Digital Entertainment,0.62,0.13,0.21,0.09,1.04
10989,Game_10989,DS,2015,Platform,THQ,0.08,0.04,0.02,0.0,0.14
10990,Game_10990,Wii,2003,Action,Nintendo,13.27,3.88,5.0,1.68,23.83
10991,Game_10991,PSP,2002,Action,Sega,0.15,0.08,0.05,0.04,0.32
10992,Game_10992,PS2,2006,Platform,Electronic Arts,2.75,0.88,0.39,1.69,5.71
10993,Game_10993,3DS,1984,Simulation,Namco Bandai Games,0.18,0.07,0.06,0.11,0.42
10994,Game_10994,PS3,1990,Racing,Electronic Arts,0.12,0.2,0.08,0.18,0.58
10995,Game_10995,Wii,2015,Adventure,Namco Bandai Games,13.63,7.1,6.65,3.87,31.24
10996,Game_10996,PS4,1996,Role-Playing,Nintendo,0.33,0.24,0.19,0.02,0.78
10997,Game_10997,PSP,2007,Fighting,Nintendo,1.47,1.2,1.54,2.85,7.06
10998,Game_10998,DS,1997,Role-Playing,Sega,0.24,0.05,0.07,0.14,0.5
10999,Game_10999,PS2,2004,Action,Capcom,5.37,2.33,2.01,0.2,9.75
11000,Game_11000,Wii,2003,Racing,Ubisoft,1.43,0.69,0.22,0.99,3.33
11001,Game_11001,X360,1998,Simulation,Nintendo,0.21,0.14,0.19,0.41,0.94
11002,Game_11002,PS2,1999,Racing,Nintendo,1.59,1.83,0.57,2.26,6.26
11003,Game_11003,PS2,1998,Platform,Konami Digital Entertainment,0.03,0.02,0.03,0.07,0.15
11004,Game_11004,DS,1998,Simulation,Namco Bandai Games,0.42,0.31,0.02,0.3,1.05
11005,Game_11005,PS4,2016,Action,Sega,0.51,0.57,0.48,0.6,2.16
11006,Game_11006,PS2,2016,Action,Sony Computer Entertainment,0.61,0.69,0.5,1.11,2.9
11007,Game_11007,PS3,2001,Role-Playing,Konami Digital Entertainment,0.61,0.44,0.24,0.79,2.08
11008,Game_11008,3DS,2007,Action,Sega,0.13,0.03,0.05,0.09,0.3
11009,Game_11009,PS3,2010,Shooter,Capcom,0.49,0.28,0.14,0.02,0.91
11010,Game_11010,PS3,2001,Shooter,Namco Bandai Games,3.7,1.37,0.64,1.23,6.93
11011,Game_11011,DS,1999,Sports,Sega,0.01,0.0,0.0,0.0,0.02
11012,Game_11012,DS,2003,Racing,Ubisoft,0.44,0.27,0.03,0.21,0.96
11013,Game_11013,DS,2010,Simulation,Activision,0.25,0.15,0.06,0.03,0.49
11014,Game_11014,DS,2013,Role-Playing,Capcom,3.37,2.95,0.46,3.44,10.22
11015,Game_11015,PS2,2009,Racing,Electronic Arts,0.55,0.3,0.36,0.38,1.59
11016,Game_11016,PS3,2002,Misc,Namco Bandai Games,1.58,0.32,0.54,0.74,3.19
11017,Game_11017,Wii,1998,Adventure,Activision,0.86,0.47,0.13,1.22,2.68
11018,Game_11018,DS,2015,Shooter,Nintendo,0.12,0.05,0.05,0.04,0.25
11019,Game_11019,XOne,2005,Shooter,Capcom,0.88,0.52,0.27,0.03,1.52
11020,Game_11020,X360,1995,Misc,Sega,0.28,0.15,0.03,0.04,0.5
11021,Game_11021,X360,2004,Racing,Konami Digital Entertainment,0.12,0.14,0.05,0.2,0.51
11022,Game_11022,X360,2005,Role-Playing,Capcom,0.32,0.27,0.18,0.43,1.19
11023,Game_11023,Wii,1991,Fighting,Sega,1.54,0.82,0.81,1.35,4.53
11024,Game_11024,XOne,2014,Misc,Electronic Arts,1.06,0.86,0.19,0.77,2.87
11025,Game_11025,DS,2012,Sports,Electronic Arts,0.67,0.29,0.22,0.02,1.14
11026,Game_11026,3DS,2006,Simulation,Sega,4.02,1.69,0.72,1.42,7.86
11027,Game_11027,X360,1996,Sports,Activision,0.21,0.14,0.04,0.17,0.56
11028,Game_11028,PSP,2012,Action,Nintendo,0.76,0.28,0.41,0.57,2.02
11029,Game_11029,Wii,2013,Simulation,Sega,0.75,0.39,0.27,0.11,1.52
